"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-ATP6",0,1.43292144436909,1,1,0,"0","MT-ATP6"
"MT-CO3",0,1.38568989300942,1,0.999,0,"0","MT-CO3"
"MT-CYB",0,1.35055785485969,1,0.999,0,"0","MT-CYB"
"MT-ND1",0,1.34708380363131,1,0.998,0,"0","MT-ND1"
"MT-CO2",0,1.34702475097797,1,0.999,0,"0","MT-CO2"
"MT-CO1",0,1.23126151421402,1,0.999,0,"0","MT-CO1"
"MT-ND4",0,1.22720608610379,1,0.999,0,"0","MT-ND4"
"MT-ND3",0,1.21354654527593,1,0.999,0,"0","MT-ND3"
"MT-ND2",0,1.14058519438925,1,0.998,0,"0","MT-ND2"
"MT-ND5",4.65036568923682e-243,0.942718618133775,1,0.958,1.12869025643467e-238,"0","MT-ND5"
"MT-ND4L",7.63874755562556e-238,1.00884585002135,0.994,0.909,1.85400041922588e-233,"0","MT-ND4L"
"LPP",7.08187408690241e-226,1.15149043485211,0.993,0.751,1.71884165963208e-221,"0","LPP"
"MACF1",4.4913533465212e-218,1.00579351032386,0.989,0.867,1.09009637073416e-213,"0","MACF1"
"TRIO",8.2653196186657e-215,1.07804061120861,0.991,0.866,2.00607572464635e-210,"0","TRIO"
"PSME4",4.49037148006048e-202,1.09677372604587,0.954,0.765,1.08985806192548e-197,"0","PSME4"
"MT-ATP8",2.53391943169194e-183,0.874035991961214,0.953,0.799,6.15007585265951e-179,"0","MT-ATP8"
"NAV2",5.29292627214901e-174,1.10426271685734,0.913,0.639,1.28464613551329e-169,"0","NAV2"
"COL12A1",7.9196655542825e-169,0.960499023937025,0.944,0.713,1.9221820266799e-164,"0","COL12A1"
"SAMD4A",2.17831036905715e-164,0.869558134909076,0.983,0.851,5.2869770967386e-160,"0","SAMD4A"
"HDAC9",3.05701672699665e-163,1.19935928622114,0.772,0.45,7.41968529809358e-159,"0","HDAC9"
"FLNA",2.21384779245995e-161,0.936530942411408,0.855,0.564,5.37322997707954e-157,"0","FLNA"
"MALAT1",6.24495403968403e-149,0.694252579164503,1,1,1.51571279497171e-144,"0","MALAT1"
"BACH2",3.17678083066658e-148,0.974583954906043,0.93,0.705,7.71036475411086e-144,"0","BACH2"
"KIF1B",1.72293616965664e-146,0.857109720090583,0.918,0.706,4.18173837737363e-142,"0","KIF1B"
"DPP6",2.43844776185255e-143,0.848144407742535,0.839,0.493,5.91835656279233e-139,"0","DPP6"
"SYNE1",1.02330572018293e-140,1.17266006444061,0.86,0.609,2.48366531345599e-136,"0","SYNE1"
"CRIM1",5.23011640095725e-140,0.929173278703285,0.855,0.615,1.26940155167633e-135,"0","CRIM1"
"MED13L",1.7304105178689e-139,0.811408172629432,0.947,0.779,4.19987936791961e-135,"0","MED13L"
"SIK3",8.48354544547768e-139,0.855038072866975,0.934,0.787,2.05904131507189e-134,"0","SIK3"
"CDH13",2.66019235610344e-134,1.02188923216976,0.887,0.627,6.45655286749866e-130,"0","CDH13"
"CACNA1C",2.43807280815897e-129,0.732090645595647,0.803,0.509,5.91744651268264e-125,"0","CACNA1C"
"PRKCA",4.78165093546978e-118,0.807199166050273,0.929,0.756,1.16055449854787e-113,"0","PRKCA"
"SYNE2",6.64861894593199e-118,0.87960756398133,0.743,0.493,1.61368630436715e-113,"0","SYNE2"
"MYH11",1.49069709464547e-115,0.57730238582858,0.901,0.541,3.61807091841401e-111,"0","MYH11"
"PDLIM5",5.53290815236276e-114,0.764041003661191,0.935,0.771,1.34289213765997e-109,"0","PDLIM5"
"AUTS2",3.49423755157697e-112,0.894511597139824,0.891,0.721,8.48086396143247e-108,"0","AUTS2"
"MBNL1",1.07625182857541e-111,0.790034997114285,0.937,0.784,2.61217081313539e-107,"0","MBNL1"
"NFAT5",1.22362175020365e-110,0.70161544449551,0.916,0.763,2.96985234991929e-106,"0","NFAT5"
"ZSWIM6",9.12568255432243e-110,0.663019151788069,0.964,0.82,2.2148944127596e-105,"0","ZSWIM6"
"ZFAND3",3.14018855947897e-107,0.742690959364487,0.89,0.747,7.62155165271141e-103,"0","ZFAND3"
"FNDC3B",5.2413153824453e-107,0.72675622211439,0.98,0.881,1.2721196564733e-102,"0","FNDC3B"
"MAN2A1",1.72933191072937e-106,0.832709564078732,0.825,0.627,4.19726148053125e-102,"0","MAN2A1"
"TSC22D2",1.0165073370813e-103,0.795750367541629,0.896,0.715,2.46716495783003e-99,"0","TSC22D2"
"CALD1",3.44507528521587e-103,0.590205955011275,0.997,0.907,8.36154222474743e-99,"0","CALD1"
"GALNT17",1.53139591176488e-101,0.701863000880461,0.444,0.189,3.71685101744455e-97,"0","GALNT17"
"KALRN",6.65920025269356e-98,0.865096301202275,0.734,0.519,1.61625449333125e-93,"0","KALRN"
"LHFPL6",3.89563741894685e-96,0.82014205967224,0.857,0.686,9.4551015795259e-92,"0","LHFPL6"
"PAWR",2.639890239015e-94,0.819993047406858,0.885,0.736,6.40727759911332e-90,"0","PAWR"
"SLMAP",5.43307785762973e-94,0.655152836015103,0.793,0.545,1.31866232682531e-89,"0","SLMAP"
"PEAK1",7.15266216729655e-94,0.723826941723247,0.957,0.843,1.73602263462455e-89,"0","PEAK1"
"LARGE1",3.26887100839089e-92,0.664697327290829,0.97,0.866,7.93387682446552e-88,"0","LARGE1"
"RBPMS",3.49200350293322e-92,0.667823873875157,0.908,0.781,8.47544170196923e-88,"0","RBPMS"
"DST",1.39210020992596e-88,0.610840592171896,0.938,0.796,3.3787664195113e-84,"0","DST"
"CACNB2",1.1813769448684e-86,0.845196834306101,0.586,0.353,2.86731998289009e-82,"0","CACNB2"
"CDK17",1.34031733372146e-85,0.681629234054115,0.787,0.618,3.25308420067536e-81,"0","CDK17"
"RASAL2",2.37683263572796e-85,0.741299069669057,0.883,0.696,5.76881049017533e-81,"0","RASAL2"
"NT5DC3",2.3629498028268e-84,0.707321021905536,0.601,0.38,5.73511546644091e-80,"0","NT5DC3"
"MAGI1",6.27115702347256e-83,0.761554684980397,0.637,0.422,1.52207252116702e-78,"0","MAGI1"
"PRKD1",2.17635863611444e-82,0.899089709206011,0.61,0.387,5.28224004571335e-78,"0","PRKD1"
"NEAT1",3.73819264381995e-82,0.422431157512139,1,0.987,9.07296736581541e-78,"0","NEAT1"
"CCN2",1.43737591744777e-79,0.581008895611483,0.932,0.684,3.48865508923749e-75,"0","CCN2"
"MRTFA",2.7852955214157e-79,0.646492991770478,0.775,0.612,6.76019076002805e-75,"0","MRTFA"
"STAG1",1.89108500534046e-78,0.605811930639907,0.958,0.856,4.58985241646183e-74,"0","STAG1"
"KCNMA1",2.64095621731135e-76,0.568475746347612,0.743,0.47,6.40986483503637e-72,"0","KCNMA1"
"XIST",3.16279498655617e-76,0.544424151951401,0.832,0.689,7.67641971187049e-72,"0","XIST"
